nutrient,unit,geo\time,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014 
N,T,AT,101000,99000,97000,103000,111000,87000,91000,117000,98000,106000,108558,106468
N,T,BG,,,,138000,157000,178000,199000,187000,191000,245000,292381,296576
N,T,BLEU,166000,163000,159000,154000,166000,150000,169000,185000,181000,179000,180780,178865
N,T,CY,,,,8000,7000,4000,5000,4000,4000,4000,4155,4155
N,T,CZ,,,,285000,341000,236000,246000,268000,295000,298000,335213,332959
N,T,DE,1828000,1778000,1784000,1601000,1807000,1551000,1569000,1785000,1640000,1600000,1675110,1621905
N,T,DK,206000,206000,191000,195000,220000,190000,190000,197000,187000,189000,186794,189114
N,T,EE,,,,39000,37000,31000,35000,37000,39000,41000,48895,51405
N,T,EL,259000,246000,229000,207000,202000,149000,181000,196000,174000,176000,189208,181448
N,T,ES,1158000,1021000,957000,938000,977000,732000,813000,965000,803000,907000,1036779,1002237
N,T,EU27,,,,10565000,11243000,9744000,10164000,10770000,10387000,10488000,11115499,11081994
N,T,FI,163000,159000,156000,159000,158000,138000,141000,142000,143000,143000,145662,143855
N,T,FR,2330000,2324000,2206000,2205000,2348000,2113000,2069000,2161000,2135000,2141000,2203845,2200034
N,T,HU,,,,307000,316000,229000,259000,283000,289000,298000,310895,318045
N,T,IE,362000,350000,341000,344000,309000,307000,365000,355000,356000,318000,337926,361206
N,T,IT,752000,685000,621000,697000,724000,605000,592000,589000,568000,591000,600600,572906
N,T,LT,,,,145000,147000,123000,134000,144000,147000,153000,157226,161681
N,T,LV,,,,80000,54000,45000,46000,46000,46000,47000,45689,47469
N,T,NL,275000,268000,265000,260000,261000,239000,234000,233000,233000,231000,220655,220310
N,T,NO,104000,106000,104000,106000,106000,106000,82000,97000,99000,95000,102684,102674
N,T,PL,,,,1056000,1142000,1095000,1113000,1091000,1095000,1100000,1098064,1153950
N,T,PT,95000,88000,84000,78000,76000,72000,68000,73000,70000,71000,78610,79029
N,T,RO,,,,241000,324000,293000,345000,378000,376000,388000,487856,496833
N,T,SE,177000,164000,162000,175000,192000,157000,176000,178000,170000,164000,163460,169968
N,T,SI,,,,54000,25000,28000,27000,27000,27000,26000,21009,21720
N,T,SK,,,,90000,105000,78000,82000,110000,120000,121000,129268,130329
N,T,UK,1130000,1057000,1018000,1007000,1036000,914000,1015000,1021000,1000000,951000,1056861,1039527
