nst07	unit	geo	2015	2014	2013	2012	2011	2010	2009	2008
TOTAL	THS_T	AT111	1518	1329	1331	1680	1342	1336	1627	1158
TOTAL	THS_T	AT112	6252	7517	5645	6457	5480	4830	5151	5045
TOTAL	THS_T	AT113	2790	2699	3295	3403	3282	3689	2487	3246
TOTAL	THS_T	AT121	15078	13730	13176	12495	14795	13745	13796	14027
TOTAL	THS_T	AT122	10752	11774	9937	9447	12185	11207	9417	10682
TOTAL	THS_T	AT123	6062	7563	7330	6793	5877	6519	7394	6414
TOTAL	THS_T	AT124	9616	8553	9292	8351	8840	8238	9248	9414
TOTAL	THS_T	AT125	5821	4710	3623	3751	4135	3087	3964	4453
TOTAL	THS_T	AT126	18598	19305	18693	17279	19650	16361	21376	24624
TOTAL	THS_T	AT127	16724	16693	15197	15135	14581	13123	13462	16984
TOTAL	THS_T	AT130	24416	23986	22568	25340	23167	25350	25186	28723
TOTAL	THS_T	AT211	8738	8464	8486	7518	10212	9894	8525	9071
TOTAL	THS_T	AT212	3612	3687	3814	3619	3903	5400	5096	4174
TOTAL	THS_T	AT213	8319	7753	7491	7142	7627	7151	8427	10665
TOTAL	THS_T	AT221	15348	13869	15006	14534	14257	12538	11582	12909
TOTAL	THS_T	AT222	3626	3146	3240	3885	3329	3397	3096	3928
TOTAL	THS_T	AT223	9448	9265	7658	7076	8455	8578	7933	8494
TOTAL	THS_T	AT224	10966	10682	9387	10087	11771	9585	8207	9497
TOTAL	THS_T	AT225	7722	9374	6982	8236	7359	6319	7141	8080
TOTAL	THS_T	AT226	5676	6205	4186	4763	4748	4893	4853	5236
TOTAL	THS_T	AT311	12260	12705	11365	12544	10552	10852	10091	12085
TOTAL	THS_T	AT312	31149	28015	27341	28088	26817	27038	26272	29052
TOTAL	THS_T	AT313	5993	6356	6356	6490	6672	6817	5424	6051
TOTAL	THS_T	AT314	8120	6673	6626	7450	7379	7194	7398	7550
TOTAL	THS_T	AT315	11163	10630	10659	11081	10753	10040	11501	11915
TOTAL	THS_T	AT321	907	738	655	908	894	700	737	1092
TOTAL	THS_T	AT322	8946	10133	8536	9704	11335	9482	9779	10122
TOTAL	THS_T	AT323	12264	13615	12698	12103	12871	12299	12960	15299
TOTAL	THS_T	AT331	1812	1405	1988	1211	935	906	1610	1038
TOTAL	THS_T	AT332	9006	9976	9497	8697	8985	9027	8313	8054
TOTAL	THS_T	AT333	1407	1902	1578	2093	1088	1244	1187	2040
TOTAL	THS_T	AT334	5224	5035	3850	3424	4245	3908	4510	4475
TOTAL	THS_T	AT335	13123	12711	12037	11183	12975	12116	14215	12494
TOTAL	THS_T	AT341	5119	4007	3925	4790	3832	4561	3619	4614
TOTAL	THS_T	AT342	8076	9022	6782	8625	8786	8545	7476	9376
TOTAL	THS_T	BE100	6637	5092	5859	5707	5290	4883	5678	6006
TOTAL	THS_T	BE211	22498	29034	29210	27318	30377	28161	27954	28548
TOTAL	THS_T	BE212	8032	8284	9015	7668	7861	8774	7805	7875
TOTAL	THS_T	BE213	12832	12632	12849	12334	13702	11286	13189	13008
TOTAL	THS_T	BE221	11610	14489	11745	12299	10462	11926	10324	11306
TOTAL	THS_T	BE222	5789	6265	5569	5596	5839	5172	5614	5761
TOTAL	THS_T	BE223	4287	4594	4528	5411	5177	4987	7359	6541
TOTAL	THS_T	BE231	4209	5318	4586	5077	4529	5342	4580	4635
TOTAL	THS_T	BE232	4624	4321	3626	3982	3941	3825	3747	3036
TOTAL	THS_T	BE233	1257	1957	1577	1504	1650	1330	1388	1579
TOTAL	THS_T	BE234	17094	20721	19450	19149	16822	23586	19453	21778
TOTAL	THS_T	BE235	2243	2494	2659	2501	1876	1819	2066	2107
TOTAL	THS_T	BE236	6497	5448	5821	5949	5827	5518	6533	6097
TOTAL	THS_T	BE241	11803	13400	14048	13522	15049	14676	13397	15452
TOTAL	THS_T	BE242	6100	6803	4619	5689	5065	4992	5523	5888
TOTAL	THS_T	BE251	8205	7910	6727	7529	6908	6444	7111	7477
TOTAL	THS_T	BE252	1843	1970	1780	1732	1860	1579	1634	1379
TOTAL	THS_T	BE253	3494	3205	3036	3068	3122	2731	2725	3041
TOTAL	THS_T	BE254	6267	8465	7646	7476	6914	6629	6899	7363
TOTAL	THS_T	BE255	1877	3272	3796	2804	3028	5165	2340	3008
TOTAL	THS_T	BE256	7423	8339	8179	7442	6393	6795	6666	6602
TOTAL	THS_T	BE257	5289	5617	4604	4433	3850	4235	4651	3835
TOTAL	THS_T	BE258	1193	2610	2516	2159	2406	4447	2492	2153
TOTAL	THS_T	BE310	4195	5909	6824	5579	7415	6964	6782	7390
TOTAL	THS_T	BE321	1604	1803	1622	1483	1264	1394	1217	1598
TOTAL	THS_T	BE322	4591	6112	5865	6181	7315	6061	5578	8812
TOTAL	THS_T	BE323	2500	3528	4208	4443	3916	3470	3727	3511
TOTAL	THS_T	BE324	1320	1400	1664	1298	1408	1594	1523	1405
TOTAL	THS_T	BE325	3046	4263	8000	5849	4956	5070	4540	4837
TOTAL	THS_T	BE326	920	1263	1263	1240	829	1144	1459	1643
TOTAL	THS_T	BE327	5185	7162	5944	6666	7127	6507	6764	6457
TOTAL	THS_T	BE331	2220	6768	5890	5246	4087	4419	4869	6734
TOTAL	THS_T	BE332	7616	6486	7152	8867	7471	6850	7699	11493
TOTAL	THS_T	BE334	788	813	964	703	1123	891	1020	908
TOTAL	THS_T	BE335	2838	2775	2643	3329	2199	1959	1943	2342
TOTAL	THS_T	BE336	1055	739	727	1018	786	1193	929	933
TOTAL	THS_T	BE341	417	372	530	689	372	268	522	268
TOTAL	THS_T	BE342	1326	1582	906	679	572	688	1253	847
TOTAL	THS_T	BE343	1031	744	1238	833	1212	692	1036	1013
TOTAL	THS_T	BE344	1768	2373	1705	2087	1236	2122	1193	1733
TOTAL	THS_T	BE345	389	322	309	232	430	292	432	424
TOTAL	THS_T	BE351	1580	4409	5845	3146	3067	2058	2651	2449
TOTAL	THS_T	BE352	5065	8431	10763	8255	7609	7629	7556	8705
TOTAL	THS_T	BE353	937	1216	1348	967	1378	1482	1772	1647
TOTAL	THS_T	BEXXX	83	:	:	:	:	:	:	:
TOTAL	THS_T	BG311	381	959	1146	583	533	736	1510	474
TOTAL	THS_T	BG312	3681	1993	1080	778	1302	2388	2012	2979
TOTAL	THS_T	BG313	1208	3021	2967	1980	2948	1835	3455	3085
TOTAL	THS_T	BG314	3829	3503	3704	3232	3190	3693	7088	8888
TOTAL	THS_T	BG315	2709	2583	1864	2617	2167	2500	1154	2779
TOTAL	THS_T	BG321	3205	4578	7219	2702	4689	3709	3719	3592
TOTAL	THS_T	BG322	602	1772	1540	1155	861	659	1309	2191
TOTAL	THS_T	BG323	4908	6425	3824	4501	4339	4881	4654	4007
TOTAL	THS_T	BG324	1899	2995	4515	1848	1660	1363	2241	2055
TOTAL	THS_T	BG325	1816	1309	2570	1731	3374	1559	1262	3300
TOTAL	THS_T	BG331	13735	20411	18499	9117	11162	11140	12504	18989
TOTAL	THS_T	BG332	2748	2961	3106	3068	1982	2225	2987	3087
TOTAL	THS_T	BG333	5956	5637	5561	4307	2680	2716	2333	3898
TOTAL	THS_T	BG334	5434	3563	3873	3143	2313	1856	3363	3612
TOTAL	THS_T	BG341	10715	11279	10608	7855	10913	8798	12299	14398
TOTAL	THS_T	BG342	2263	1640	3543	3742	6661	2142	1952	2515
TOTAL	THS_T	BG343	2385	2630	2378	5740	2751	1338	2817	2842
TOTAL	THS_T	BG344	8437	7522	7212	9183	9359	5628	11174	9916
TOTAL	THS_T	BG411	15128	12276	16046	13315	16357	16269	15073	20713
TOTAL	THS_T	BG412	10619	7908	4852	9377	5340	10445	6041	8867
TOTAL	THS_T	BG413	5936	3956	4140	5456	3125	3931	4196	8787
TOTAL	THS_T	BG414	1551	1655	4693	2792	1604	4720	2146	2628
TOTAL	THS_T	BG415	4343	1699	3438	1288	1556	1910	399	5861
TOTAL	THS_T	BG421	6945	8893	8234	8542	10590	7427	8552	9690
TOTAL	THS_T	BG422	4834	6862	5901	5240	3288	4586	6561	7068
TOTAL	THS_T	BG423	4618	3099	3096	3515	4454	4986	7617	3626
TOTAL	THS_T	BG424	2464	1736	2087	1567	1658	1703	7332	2727
TOTAL	THS_T	BG425	2013	1401	1059	3796	778	2945	1109	6018
TOTAL	THS_T	CH011	21699	21139	17314	20462	17619	15772	20755	20043
TOTAL	THS_T	CH012	14264	11368	15891	12346	12681	10710	10128	10858
TOTAL	THS_T	CH013	7620	7413	7746	9154	7701	7399	7532	8416
TOTAL	THS_T	CH021	37576	42040	34256	36806	40537	34514	35550	35542
TOTAL	THS_T	CH022	11502	15762	9630	10481	9884	11018	7803	9942
TOTAL	THS_T	CH023	10301	11652	10226	11040	11699	8996	8688	9469
TOTAL	THS_T	CH024	5111	3815	3151	4589	3333	2119	4038	3386
TOTAL	THS_T	CH025	1646	3068	2213	3107	2581	2098	3214	2484
TOTAL	THS_T	CH031	6305	4335	5359	4563	4280	4252	5219	5243
TOTAL	THS_T	CH032	10842	17541	11297	12602	13575	11316	14324	10327
TOTAL	THS_T	CH033	27110	27339	25997	25794	27227	23627	25006	22820
TOTAL	THS_T	CH040	39133	33903	43860	35960	41571	43568	37654	47144
TOTAL	THS_T	CH051	2422	3261	2648	3553	2524	3377	5252	3708
TOTAL	THS_T	CH052	935	2139	3944	1558	2145	1270	1704	1693
TOTAL	THS_T	CH053	1194	1060	847	1930	1042	1569	925	857
TOTAL	THS_T	CH054	898	829	598	1203	417	293	220	1019
TOTAL	THS_T	CH055	22590	22949	21835	19919	20989	20380	18488	16720
TOTAL	THS_T	CH056	9938	8198	10172	7622	7745	9301	10050	10769
TOTAL	THS_T	CH057	8583	8850	14535	12681	12172	9621	9796	11655
TOTAL	THS_T	CH061	18278	18731	14517	20131	19892	17677	15307	15891
TOTAL	THS_T	CH062	1737	2260	1707	4136	2914	3210	2645	2067
TOTAL	THS_T	CH063	5785	6327	7128	6350	6281	9068	6138	6904
TOTAL	THS_T	CH064	2040	1710	1450	3932	2163	1311	2515	1005
TOTAL	THS_T	CH065	1187	2295	1637	2932	3240	2107	2946	2344
TOTAL	THS_T	CH066	2646	2355	4473	2515	3448	3910	3822	3789
TOTAL	THS_T	CH070	7157	10458	11386	12137	10247	10844	11278	11320
TOTAL	THS_T	CY000	14384	14569	16099	22941	26018	32216	28493	41601
TOTAL	THS_T	CZ010	24421	19846	18213	18313	21711	26600	25531	32706
TOTAL	THS_T	CZ020	62029	56642	50230	51057	45915	55673	53710	57039
TOTAL	THS_T	CZ031	23441	21088	19291	20189	18652	17929	19377	19938
TOTAL	THS_T	CZ032	25307	21558	22414	17992	24247	18673	19501	26185
TOTAL	THS_T	CZ041	13253	10730	11083	8559	8662	11510	12601	12485
TOTAL	THS_T	CZ042	28765	25040	26854	30157	25885	27689	27255	36369
TOTAL	THS_T	CZ051	15090	10172	8544	8289	8805	10954	9670	14012
TOTAL	THS_T	CZ052	20570	16265	15133	14044	17536	12320	16522	17859
TOTAL	THS_T	CZ053	19943	16948	15222	12602	14166	14423	16343	20090
TOTAL	THS_T	CZ063	19121	15516	12487	9854	13296	14551	18543	20061
TOTAL	THS_T	CZ064	40374	35683	29350	25806	26051	27880	31335	40006
TOTAL	THS_T	CZ071	25659	26760	18776	23872	21159	19474	25554	25133
TOTAL	THS_T	CZ072	17652	14025	9708	10342	10958	12212	12367	13144
TOTAL	THS_T	CZ080	39908	33808	31809	30265	31481	31502	36670	47356
TOTAL	THS_T	DE111	:	16880	13367	14767	10400	14124	12008	12132
TOTAL	THS_T	DE112	:	13841	12149	12654	10831	9339	8836	10817
TOTAL	THS_T	DE113	:	15668	12131	13496	13487	11716	13085	13418
TOTAL	THS_T	DE114	:	8711	7110	5637	6470	5998	5614	7369
TOTAL	THS_T	DE115	:	18230	17594	16425	16274	14774	15463	17066
TOTAL	THS_T	DE116	:	9079	7410	7282	7539	6319	7838	7165
TOTAL	THS_T	DE117	:	7109	7037	8146	8741	8931	7091	1267
TOTAL	THS_T	DE118	:	13975	12252	12955	12108	12766	11613	18973
TOTAL	THS_T	DE119	:	7218	5864	4982	6175	4481	5188	5757
TOTAL	THS_T	DE11A	:	8830	10568	9803	9011	9215	8114	9740
TOTAL	THS_T	DE11B	:	4963	4663	3253	4586	4011	4108	3785
TOTAL	THS_T	DE11C	:	7297	7320	7849	6673	6074	7026	6819
TOTAL	THS_T	DE11D	:	8649	8115	7632	7604	7105	6858	6791
TOTAL	THS_T	DE121	:	1062	1496	1265	1287	807	1490	1684
TOTAL	THS_T	DE122	:	15874	12957	13468	14356	12634	14283	3099
TOTAL	THS_T	DE123	:	16080	13496	14729	14379	11295	12742	24474
TOTAL	THS_T	DE124	:	11059	9693	10848	9197	8406	8787	9735
TOTAL	THS_T	DE125	:	1264	1636	1671	1510	1564	2147	2270
TOTAL	THS_T	DE126	:	14270	14281	13438	12660	12367	11275	13262
TOTAL	THS_T	DE127	:	3263	3355	3742	3451	2579	3705	4167
TOTAL	THS_T	DE128	:	14051	14708	14557	14198	15573	12374	15200
TOTAL	THS_T	DE129	:	2581	1926	1443	1707	1631	1496	2077
TOTAL	THS_T	DE12A	:	3452	3206	2857	3808	3464	3463	2959
TOTAL	THS_T	DE12B	:	6606	6923	5265	5233	4309	4856	6977
TOTAL	THS_T	DE12C	:	3682	3603	3436	3486	3390	3466	4100
TOTAL	THS_T	DE131	:	3105	2676	3243	3137	2806	2445	2868
TOTAL	THS_T	DE132	:	8422	6794	8854	7226	7338	7866	8063
TOTAL	THS_T	DE133	:	3646	4798	3598	3837	3168	3697	4689
TOTAL	THS_T	DE134	:	20037	19874	19156	19757	17014	18166	19576
TOTAL	THS_T	DE135	:	6332	5263	4472	5251	4239	4067	3815
TOTAL	THS_T	DE136	:	6622	5773	5987	6395	5256	5468	7029
TOTAL	THS_T	DE137	:	4211	4924	3684	4061	3229	3625	4679
TOTAL	THS_T	DE138	:	10461	7183	8024	8643	5771	5609	7084
TOTAL	THS_T	DE139	:	5835	5078	5582	6111	5004	4884	4887
TOTAL	THS_T	DE13A	:	4282	3866	3599	4861	4636	4240	4622
TOTAL	THS_T	DE141	:	7917	6864	6471	7131	5745	6104	7530
TOTAL	THS_T	DE142	:	3354	3163	3981	3005	2201	2565	2686
TOTAL	THS_T	DE143	:	8164	7735	5957	6701	5204	7249	7226
TOTAL	THS_T	DE144	:	7325	6548	5157	6016	4645	4270	6190
TOTAL	THS_T	DE145	:	11031	12073	10582	11662	10699	9875	10920
TOTAL	THS_T	DE146	:	11117	9856	11281	9588	8784	9944	11023
TOTAL	THS_T	DE147	:	4011	5287	5160	4263	3615	3520	3473
TOTAL	THS_T	DE148	:	11906	12104	10643	10952	9242	9512	10964
TOTAL	THS_T	DE149	:	6558	7592	7501	6303	6302	7643	6493
TOTAL	THS_T	DE211	:	7434	6485	6774	4572	5378	5256	5936
TOTAL	THS_T	DE212	:	20505	20148	18513	19294	17434	17455	21191
TOTAL	THS_T	DE213	:	1673	1113	1046	839	1197	1198	1132
TOTAL	THS_T	DE214	:	5202	6117	5112	5723	4490	5758	6616
TOTAL	THS_T	DE215	:	5124	3141	3304	2090	2840	3681	3449
TOTAL	THS_T	DE216	:	2812	2677	2092	2609	2522	3999	2778
TOTAL	THS_T	DE217	:	5939	3750	3910	3633	3311	3062	3966
TOTAL	THS_T	DE218	:	5580	4805	4139	4710	5675	4915	5940
TOTAL	THS_T	DE219	:	12333	9997	8834	11242	9796	9371	10249
TOTAL	THS_T	DE21A	:	6109	7211	4961	6060	4619	4765	6607
TOTAL	THS_T	DE21B	:	13160	10876	10586	9100	7801	7708	7306
TOTAL	THS_T	DE21C	:	5013	3283	3122	2700	3995	4813	5628
TOTAL	THS_T	DE21D	:	2118	1583	1013	1142	885	1423	1815
TOTAL	THS_T	DE21E	:	6314	5084	4993	5408	3448	5064	7268
TOTAL	THS_T	DE21F	:	2862	3905	2553	2509	1221	2320	2338
TOTAL	THS_T	DE21G	:	5155	4862	3816	3757	3737	4286	3339
TOTAL	THS_T	DE21H	:	16749	11627	12550	11764	9418	11809	13696
TOTAL	THS_T	DE21I	:	7418	7196	6498	6152	5850	5823	6935
TOTAL	THS_T	DE21J	:	9524	9913	8347	8412	10381	10014	10215
TOTAL	THS_T	DE21K	:	10080	9802	8266	7737	6742	7342	10483
TOTAL	THS_T	DE21L	:	1938	3115	2269	2879	2697	2626	2412
TOTAL	THS_T	DE21M	:	10021	7086	8844	9162	7160	7496	7368
TOTAL	THS_T	DE21N	:	3906	4209	4612	3936	3165	2895	4117
TOTAL	THS_T	DE221	:	2604	2737	2926	2483	2004	2023	2517
TOTAL	THS_T	DE222	:	1412	1459	1840	1470	879	1128	1330
TOTAL	THS_T	DE223	:	3086	2561	2526	2599	2432	2882	2826
TOTAL	THS_T	DE224	:	7764	9215	8087	7444	7495	6080	6073
TOTAL	THS_T	DE225	:	2017	2131	1967	1533	1805	2206	2077
TOTAL	THS_T	DE226	:	6671	7460	6597	7242	5357	5137	7052
TOTAL	THS_T	DE227	:	8414	7467	7738	8444	5289	5449	5360
TOTAL	THS_T	DE228	:	10775	10474	8689	8981	8448	9449	9135
TOTAL	THS_T	DE229	:	2393	1643	1948	1636	2067	1889	1973
TOTAL	THS_T	DE22A	:	4622	4575	3793	5460	3423	3329	3942
TOTAL	THS_T	DE22B	:	5477	3892	3705	3214	2989	3458	5571
TOTAL	THS_T	DE22C	:	8297	8121	6859	6395	5942	4462	5121
TOTAL	THS_T	DE231	:	1484	1973	1576	1192	1354	1697	1495
TOTAL	THS_T	DE232	:	9729	7306	8496	7061	6435	5927	6610
TOTAL	THS_T	DE233	:	1744	1642	1637	1930	1594	1762	1750
TOTAL	THS_T	DE234	:	6780	4939	6603	5650	4756	4447	6193
TOTAL	THS_T	DE235	:	5490	4758	4617	3864	4277	3869	4337
TOTAL	THS_T	DE236	:	8648	8020	10443	7625	9509	7093	7093
TOTAL	THS_T	DE237	:	4631	5729	5437	4315	3459	5220	6507
TOTAL	THS_T	DE238	:	9471	8891	7041	6689	5496	7049	6304
TOTAL	THS_T	DE239	:	9873	10076	8801	8776	7577	8195	8985
TOTAL	THS_T	DE23A	:	3587	2530	2860	3303	2148	2620	3447
TOTAL	THS_T	DE241	:	2616	2924	2002	2462	2431	2012	2679
TOTAL	THS_T	DE242	:	1549	2193	1799	1333	1375	1556	1503
TOTAL	THS_T	DE243	:	1545	1102	1973	2000	1605	1543	1551
TOTAL	THS_T	DE244	:	1813	1885	2054	2093	1867	2146	2010
TOTAL	THS_T	DE245	:	4462	4808	4781	4746	4230	3746	5655
TOTAL	THS_T	DE246	:	4757	4122	4258	4031	2988	3181	3253
TOTAL	THS_T	DE247	:	3199	3461	4445	3223	4516	3523	3258
TOTAL	THS_T	DE248	:	4126	4081	3781	3830	4106	2380	2536
TOTAL	THS_T	DE249	:	4036	4023	5517	5570	3981	4051	3786
TOTAL	THS_T	DE24A	:	2441	2674	1783	2855	2470	2350	1988
TOTAL	THS_T	DE24B	:	3619	4093	3731	4499	3941	3308	3676
TOTAL	THS_T	DE24C	:	4023	4108	3687	3743	3937	2005	3656
TOTAL	THS_T	DE24D	:	2491	2288	2406	2295	2649	2290	2294
TOTAL	THS_T	DE251	:	2049	1152	1645	1455	1122	1133	2205
TOTAL	THS_T	DE252	:	1302	3182	1729	1680	1293	1668	1098
TOTAL	THS_T	DE253	:	1602	2440	2026	2203	1792	1543	1925
TOTAL	THS_T	DE254	:	16741	16485	16367	17432	17166	15849	18716
TOTAL	THS_T	DE255	:	1583	1036	1102	1427	927	1596	1422
TOTAL	THS_T	DE256	:	8202	7821	7905	8597	6517	6469	8169
TOTAL	THS_T	DE257	:	2769	3581	3582	3268	3409	2133	2842
TOTAL	THS_T	DE258	:	1610	1064	1061	1677	1292	1007	1337
TOTAL	THS_T	DE259	:	6165	6038	6635	7276	5436	7203	6924
TOTAL	THS_T	DE25A	:	3905	4572	6151	4662	4566	5106	6616
TOTAL	THS_T	DE25B	:	4362	4370	4222	4193	4025	4187	3428
TOTAL	THS_T	DE25C	:	6680	6310	5433	5205	5374	6449	4688
TOTAL	THS_T	DE261	:	3343	3263	3267	3010	2922	2687	2937
TOTAL	THS_T	DE262	:	2825	3214	2589	2098	2440	1864	2786
TOTAL	THS_T	DE263	:	4188	4204	4677	4202	3564	4620	5663
TOTAL	THS_T	DE264	:	6685	7470	6082	7069	6092	6238	5874
TOTAL	THS_T	DE265	:	3497	3500	2892	4121	3754	3465	3248
TOTAL	THS_T	DE266	:	3746	3018	3037	4025	2795	3494	2897
TOTAL	THS_T	DE267	:	4731	4449	4511	5033	4110	4072	4413
TOTAL	THS_T	DE268	:	6731	7498	5243	6709	6557	5533	6750
TOTAL	THS_T	DE269	:	3390	3867	3171	3214	3095	2364	3113
TOTAL	THS_T	DE26A	:	6025	5466	5780	5875	5459	4758	5325
TOTAL	THS_T	DE26B	:	3880	3922	3771	3918	3878	3913	3836
TOTAL	THS_T	DE26C	:	7358	6621	6270	7315	6693	6581	5671
TOTAL	THS_T	DE271	:	5920	6795	5723	6092	5812	5917	7552
TOTAL	THS_T	DE272	:	979	1020	1918	685	910	1065	1282
TOTAL	THS_T	DE273	:	1516	2159	2053	2024	2545	1999	2788
TOTAL	THS_T	DE274	:	2764	2527	2883	2100	1952	1952	2574
TOTAL	THS_T	DE275	:	5298	4987	3884	5617	5522	7824	6313
TOTAL	THS_T	DE276	:	11505	11518	14172	12322	10452	10113	10708
TOTAL	THS_T	DE277	:	8511	5903	6233	6834	6126	5498	7329
TOTAL	THS_T	DE278	:	6556	5197	7398	8055	4823	5101	6023
TOTAL	THS_T	DE279	:	7349	6896	5694	6573	6362	6314	6419
TOTAL	THS_T	DE27A	:	1708	2034	1445	2913	1106	1703	2583
TOTAL	THS_T	DE27B	:	6837	7427	4849	6465	3871	7663	8940
TOTAL	THS_T	DE27C	:	9439	8586	8099	9012	7464	6614	9531
TOTAL	THS_T	DE27D	:	11772	9600	10625	9640	8898	8804	8901
TOTAL	THS_T	DE27E	:	3769	4722	3848	5274	2652	3599	4779
TOTAL	THS_T	DE300	:	33350	31096	31651	30225	29088	29931	30630
TOTAL	THS_T	DE401	:	1957	:	:	:	:	:	:
TOTAL	THS_T	DE402	:	1083	:	:	:	:	:	:
TOTAL	THS_T	DE403	:	1309	:	:	:	:	:	:
TOTAL	THS_T	DE404	:	3059	:	:	:	:	:	:
TOTAL	THS_T	DE405	:	8993	:	:	:	:	:	:
TOTAL	THS_T	DE406	:	8375	:	:	:	:	:	:
TOTAL	THS_T	DE407	:	5768	:	:	:	:	:	:
TOTAL	THS_T	DE408	:	7146	:	:	:	:	:	:
TOTAL	THS_T	DE409	:	8868	:	:	:	:	:	:
TOTAL	THS_T	DE40A	:	8748	:	:	:	:	:	:
TOTAL	THS_T	DE40B	:	6533	:	:	:	:	:	:
TOTAL	THS_T	DE40C	:	7040	:	:	:	:	:	:
TOTAL	THS_T	DE40D	:	5573	:	:	:	:	:	:
TOTAL	THS_T	DE40E	:	9251	:	:	:	:	:	:
TOTAL	THS_T	DE40F	:	4023	:	:	:	:	:	:
TOTAL	THS_T	DE40G	:	5552	:	:	:	:	:	:
TOTAL	THS_T	DE40H	:	11779	:	:	:	:	:	:
TOTAL	THS_T	DE40I	:	7036	:	:	:	:	:	:
TOTAL	THS_T	DE411	:	:	1489	1262	2215	1792	1417	1678
TOTAL	THS_T	DE412	:	:	9940	10799	8762	8591	9140	9636
TOTAL	THS_T	DE413	:	:	8757	7872	8224	8138	7489	7717
TOTAL	THS_T	DE414	:	:	7671	7675	6781	6501	7178	5836
TOTAL	THS_T	DE415	:	:	6728	6512	6901	6097	6839	7611
TOTAL	THS_T	DE416	:	:	5800	5948	5768	4797	6108	6080
TOTAL	THS_T	DE417	:	:	2933	2272	2598	2563	2715	2869
TOTAL	THS_T	DE418	:	:	6223	9280	7683	6622	6993	7121
TOTAL	THS_T	DE421	:	:	1986	1843	1997	2050	2336	3333
TOTAL	THS_T	DE422	:	:	1295	1354	1832	1251	2160	2319
