nst07	unit	geo	2015	2014	2013	2012	2011	2010	2009	2008
TOTAL	THS_T	EL212	:	3155	1085	665	3413	1425	1495	566
TOTAL	THS_T	EL213	:	9439	7290	6003	7325	8660	9012	24381
TOTAL	THS_T	EL214	:	973	686	350	1884	343	2270	1423
TOTAL	THS_T	EL221	:	143	108	43	476	865	2269	5250
TOTAL	THS_T	EL222	:	157	99	59	362	691	743	962
TOTAL	THS_T	EL223	:	340	365	245	1163	283	1487	2441
TOTAL	THS_T	EL224	:	261	296	455	305	88	396	419
TOTAL	THS_T	EL231	:	18160	9453	4049	10837	16230	25629	9158
TOTAL	THS_T	EL232	:	19855	16529	10893	14750	21462	29191	13156
TOTAL	THS_T	EL233	:	2961	2654	2252	4652	8271	5234	3562
TOTAL	THS_T	EL241	:	7321	20985	11287	11271	15662	10383	13306
TOTAL	THS_T	EL242	:	4774	4005	9227	6672	7780	6201	10937
TOTAL	THS_T	EL243	:	664	544	81	293	88	299	1226
TOTAL	THS_T	EL244	:	4012	6072	13556	11153	9890	8247	14599
TOTAL	THS_T	EL245	:	1649	1376	1110	1981	2234	5037	5970
TOTAL	THS_T	EL251	:	3028	2144	2683	2902	3677	1794	3290
TOTAL	THS_T	EL252	:	17821	10495	6004	15791	13824	16852	12679
TOTAL	THS_T	EL253	:	6957	4936	7691	15696	12799	13399	13141
TOTAL	THS_T	EL254	:	2294	527	996	519	921	1839	4191
TOTAL	THS_T	EL255	:	1902	1718	3695	1393	6659	4436	6219
TOTAL	THS_T	EL300	:	44495	54304	50505	41367	110454	117036	127059
TOTAL	THS_T	EL301	881	:	:	:	:	:	:	:
TOTAL	THS_T	EL302	2236	:	:	:	:	:	:	:
TOTAL	THS_T	EL303	5124	:	:	:	:	:	:	:
TOTAL	THS_T	EL304	1251	:	:	:	:	:	:	:
TOTAL	THS_T	EL305	3534	:	:	:	:	:	:	:
TOTAL	THS_T	EL306	11718	:	:	:	:	:	:	:
TOTAL	THS_T	EL307	41979	:	:	:	:	:	:	:
TOTAL	THS_T	EL411	3167	1435	1813	1201	961	1326	1954	3233
TOTAL	THS_T	EL412	192	44	2080	:	161	:	6	2295
TOTAL	THS_T	EL413	697	529	979	353	292	1104	3031	1216
TOTAL	THS_T	EL421	3279	3958	5595	3523	7901	7749	3940	4394
TOTAL	THS_T	EL422	6133	5833	5296	1954	2724	7017	9329	11829
TOTAL	THS_T	EL431	3291	10399	18030	10864	19901	13195	18448	18088
TOTAL	THS_T	EL432	1186	2036	1108	3958	9030	6397	4308	4180
TOTAL	THS_T	EL433	3522	3192	1888	1379	2743	2001	2031	3140
TOTAL	THS_T	EL434	3081	5107	4129	3159	5092	8355	4278	8380
TOTAL	THS_T	EL511	1428	:	:	:	:	:	:	:
TOTAL	THS_T	EL512	1495	:	:	:	:	:	:	:
TOTAL	THS_T	EL513	962	:	:	:	:	:	:	:
TOTAL	THS_T	EL514	4198	:	:	:	:	:	:	:
TOTAL	THS_T	EL515	1233	:	:	:	:	:	:	:
TOTAL	THS_T	EL521	4287	:	:	:	:	:	:	:
TOTAL	THS_T	EL522	13373	:	:	:	:	:	:	:
TOTAL	THS_T	EL523	1295	:	:	:	:	:	:	:
TOTAL	THS_T	EL524	4098	:	:	:	:	:	:	:
TOTAL	THS_T	EL525	2073	:	:	:	:	:	:	:
TOTAL	THS_T	EL526	5993	:	:	:	:	:	:	:
TOTAL	THS_T	EL527	26289	:	:	:	:	:	:	:
TOTAL	THS_T	EL531	104053	:	:	:	:	:	:	:
TOTAL	THS_T	EL532	3668	:	:	:	:	:	:	:
TOTAL	THS_T	EL533	27017	:	:	:	:	:	:	:
TOTAL	THS_T	EL541	5303	:	:	:	:	:	:	:
TOTAL	THS_T	EL542	1135	:	:	:	:	:	:	:
TOTAL	THS_T	EL543	4825	:	:	:	:	:	:	:
TOTAL	THS_T	EL611	10352	:	:	:	:	:	:	:
TOTAL	THS_T	EL612	7604	:	:	:	:	:	:	:
TOTAL	THS_T	EL613	3145	:	:	:	:	:	:	:
TOTAL	THS_T	EL621	18	:	:	:	:	:	:	:
TOTAL	THS_T	EL622	40	:	:	:	:	:	:	:
TOTAL	THS_T	EL623	484	:	:	:	:	:	:	:
TOTAL	THS_T	EL624	41	:	:	:	:	:	:	:
TOTAL	THS_T	EL631	10669	:	:	:	:	:	:	:
TOTAL	THS_T	EL632	31711	:	:	:	:	:	:	:
TOTAL	THS_T	EL633	3138	:	:	:	:	:	:	:
TOTAL	THS_T	EL641	7194	:	:	:	:	:	:	:
TOTAL	THS_T	EL642	5163	:	:	:	:	:	:	:
TOTAL	THS_T	EL643	1714	:	:	:	:	:	:	:
TOTAL	THS_T	EL644	5705	:	:	:	:	:	:	:
TOTAL	THS_T	EL645	2994	:	:	:	:	:	:	:
TOTAL	THS_T	EL651	10066	:	:	:	:	:	:	:
TOTAL	THS_T	EL652	7451	:	:	:	:	:	:	:
TOTAL	THS_T	EL653	5187	:	:	:	:	:	:	:
TOTAL	THS_T	ES111	39380	35621	36075	41199	44136	43510	44378	54544
TOTAL	THS_T	ES112	13355	17513	15255	15647	21510	23136	19759	22606
TOTAL	THS_T	ES113	8378	8039	8774	11078	10219	13710	11078	13989
TOTAL	THS_T	ES114	21658	26504	22746	30424	32708	35373	36893	36661
TOTAL	THS_T	ES120	36831	34948	32305	40710	49067	53466	66382	64464
TOTAL	THS_T	ES130	24999	25189	15515	19223	25690	25763	26697	32266
TOTAL	THS_T	ES211	12841	12756	10549	10794	17684	14923	18672	18103
TOTAL	THS_T	ES212	17347	21668	18728	20795	21097	26284	31792	30626
TOTAL	THS_T	ES213	31643	34884	30627	29784	36187	38737	40490	54157
TOTAL	THS_T	ES220	31930	23946	27963	27792	34264	39239	33300	48666
TOTAL	THS_T	ES230	12310	10144	9111	9180	11477	17994	15366	22675
TOTAL	THS_T	ES241	14258	11592	15493	14169	14297	19786	20817	24057
TOTAL	THS_T	ES242	11396	9130	10432	8737	14635	18581	12960	12704
TOTAL	THS_T	ES243	36178	28993	31710	32050	38248	42681	37855	72222
TOTAL	THS_T	ES300	71715	59265	60197	70372	90243	98531	107318	130649
TOTAL	THS_T	ES411	4654	5358	5601	5532	4659	6612	11064	8892
TOTAL	THS_T	ES412	24748	21482	16831	19648	28399	24517	28217	31096
TOTAL	THS_T	ES413	16263	17241	15354	18507	24391	23490	27471	34194
TOTAL	THS_T	ES414	10826	10739	9701	10862	18424	13267	15918	17629
TOTAL	THS_T	ES415	9647	6410	7103	7068	7890	9281	13671	13677
TOTAL	THS_T	ES416	8866	9412	8076	10519	10854	11506	12482	19143
TOTAL	THS_T	ES417	5098	5445	3692	6853	7065	7107	7421	8630
TOTAL	THS_T	ES418	16663	15996	14798	16214	22775	24030	23505	30292
TOTAL	THS_T	ES419	9946	9890	8996	6606	10980	8929	11189	16709
TOTAL	THS_T	ES421	12920	9735	10847	13714	17824	15159	22468	23077
TOTAL	THS_T	ES422	14648	13924	12612	14291	16824	17887	25072	29628
TOTAL	THS_T	ES423	11339	9513	9233	8641	13272	15784	24114	22510
TOTAL	THS_T	ES424	12581	13129	11562	13856	16637	14780	12588	19960
TOTAL	THS_T	ES425	26665	23850	24192	23332	31693	32816	45873	60416
TOTAL	THS_T	ES431	15432	15725	14694	22488	24351	19167	29357	27037
TOTAL	THS_T	ES432	8118	11005	7748	8366	9597	10683	11583	13006
TOTAL	THS_T	ES511	110282	108846	99934	116801	120812	135420	154250	177432
TOTAL	THS_T	ES512	21081	19146	17491	18398	27234	26719	31980	35298
TOTAL	THS_T	ES513	26107	20007	19193	25844	24745	30454	35735	43258
TOTAL	THS_T	ES514	32895	29884	28317	31501	35789	35154	38545	52726
TOTAL	THS_T	ES521	31653	28715	26794	27829	34277	42540	43679	67814
TOTAL	THS_T	ES522	37227	34329	35668	36051	40207	33696	34115	58743
TOTAL	THS_T	ES523	74829	68239	69943	69768	77759	89392	98380	132603
TOTAL	THS_T	ES531	2510	1599	1710	2910	3866	5561	2573	3923
TOTAL	THS_T	ES532	12191	13451	14028	12965	13316	16712	17590	21662
TOTAL	THS_T	ES533	1475	781	687	573	561	1721	1420	3961
TOTAL	THS_T	ES611	18940	20125	18787	19575	19924	16589	20047	28497
TOTAL	THS_T	ES612	18244	20283	19479	16016	22063	25784	27607	33274
TOTAL	THS_T	ES613	16266	16161	13040	17380	22647	23783	21189	34596
TOTAL	THS_T	ES614	16240	17930	18939	20425	27966	23613	30900	37403
TOTAL	THS_T	ES615	18399	12491	13970	16540	15382	16591	21223	30275
TOTAL	THS_T	ES616	13377	13427	9924	13604	16737	19011	19279	22368
TOTAL	THS_T	ES617	18262	19363	16104	21723	27906	32808	38094	50138
TOTAL	THS_T	ES618	41317	36156	35144	39706	51059	53549	65992	79226
TOTAL	THS_T	ES620	47665	42248	42532	46318	53897	61095	55617	85849
TOTAL	THS_T	ES630	462	296	382	691	280	824	1883	1064
TOTAL	THS_T	ES640	558	483	218	397	684	561	1090	923
TOTAL	THS_T	ES703	37	89	150	33	46	103	206	207
TOTAL	THS_T	ES704	3083	1482	1934	1372	4019	2627	4562	1966
TOTAL	THS_T	ES705	14828	13718	12223	10104	11141	15184	15441	9149
TOTAL	THS_T	ES706	124	135	47	81	204	515	972	462
TOTAL	THS_T	ES707	1000	1393	2721	1080	1250	1115	923	1157
TOTAL	THS_T	ES708	2426	2395	2888	1422	3202	4219	3433	2162
TOTAL	THS_T	ES709	12744	14464	10897	16253	17229	20257	19178	22910
TOTAL	THS_T	FI131	:	:	:	:	9615	18121	11569	10547
TOTAL	THS_T	FI132	:	:	:	:	20284	17367	20456	24858
TOTAL	THS_T	FI133	:	:	:	:	10322	8529	14200	7677
TOTAL	THS_T	FI134	:	:	:	:	3168	4034	5290	10318
TOTAL	THS_T	FI181	:	:	:	:	64558	74107	52389	76963
TOTAL	THS_T	FI182	:	:	:	:	8600	8500	9535	7509
TOTAL	THS_T	FI183	:	:	:	:	26129	31603	26460	28923
TOTAL	THS_T	FI184	:	:	:	:	12719	9451	10855	15862
TOTAL	THS_T	FI185	:	:	:	:	13500	13064	13220	19377
TOTAL	THS_T	FI186	:	:	:	:	9777	15745	14400	21311
TOTAL	THS_T	FI187	:	:	:	:	15662	20919	17793	19911
TOTAL	THS_T	FI193	12817	18560	12187	14904	16778	30728	17878	24088
TOTAL	THS_T	FI194	11744	9593	9122	10785	11790	15906	10780	19694
TOTAL	THS_T	FI195	6537	9813	10516	10091	8748	14858	9927	10558
TOTAL	THS_T	FI196	16602	13241	20569	17030	17154	33025	23212	24232
TOTAL	THS_T	FI197	22896	21468	21865	24466	19701	25810	39538	35433
TOTAL	THS_T	FI1A1	:	:	:	:	4342	6461	6255	4956
TOTAL	THS_T	FI1A2	:	:	:	:	26363	27446	22515	39029
TOTAL	THS_T	FI1A3	:	:	:	:	13300	15210	19170	16545
TOTAL	THS_T	FI1B1	54901	52033	60747	56673	:	:	:	:
TOTAL	THS_T	FI1C1	18189	20925	20449	24437	:	:	:	:
TOTAL	THS_T	FI1C2	11704	14556	10500	12247	:	:	:	:
TOTAL	THS_T	FI1C3	10122	9817	7265	14602	:	:	:	:
TOTAL	THS_T	FI1C4	10889	11879	9768	10742	:	:	:	:
TOTAL	THS_T	FI1C5	12882	14819	11404	15614	:	:	:	:
TOTAL	THS_T	FI1D1	7869	12203	9830	10517	:	:	:	:
TOTAL	THS_T	FI1D2	12468	15445	15258	15850	:	:	:	:
TOTAL	THS_T	FI1D3	11710	8307	7864	10273	:	:	:	:
TOTAL	THS_T	FI1D4	4240	3875	4731	6392	:	:	:	:
TOTAL	THS_T	FI1D5	4326	4868	6095	5276	:	:	:	:
TOTAL	THS_T	FI1D6	22747	22717	21651	22988	:	:	:	:
TOTAL	THS_T	FI1D7	14854	9764	9655	10556	:	:	:	:
TOTAL	THS_T	FI200	:	29	:	:	33	:	:	:
TOTAL	THS_T	FIXXX	:	:	:	193	:	:	:	:
TOTAL	THS_T	FR101	7575	4927	4738	5030	5343	6211	6409	5250
TOTAL	THS_T	FR102	49988	43493	43220	35937	41137	37725	37305	46999
TOTAL	THS_T	FR103	19561	15216	16161	17287	18076	19231	16706	20110
TOTAL	THS_T	FR104	23153	23357	28725	19530	23588	22816	22341	30398
TOTAL	THS_T	FR105	13100	13092	13111	10397	12896	13920	13997	16624
TOTAL	THS_T	FR106	14473	16203	18168	13162	11748	13097	13489	19023
TOTAL	THS_T	FR107	17286	16156	21541	15069	16778	17825	16068	22350
TOTAL	THS_T	FR108	19153	18559	21268	16988	19390	19267	16374	19314
TOTAL	THS_T	FR211	8450	7848	6412	5313	8734	10908	9244	11792
TOTAL	THS_T	FR212	16564	18048	17865	20352	21499	22693	20611	19469
TOTAL	THS_T	FR213	21314	30511	31692	30770	31693	34302	38089	32533
TOTAL	THS_T	FR214	8359	8456	7236	7529	8546	9619	9555	11147
TOTAL	THS_T	FR221	24712	23974	25820	27380	20234	19798	20308	22652
TOTAL	THS_T	FR222	24221	26573	33277	27684	29433	31910	31913	26746
TOTAL	THS_T	FR223	17535	21814	23885	28670	28928	26589	25688	21991
TOTAL	THS_T	FR231	14482	17303	25224	16242	18490	20194	21528	23485
TOTAL	THS_T	FR232	55929	53632	55838	48292	52843	54609	53529	60463
TOTAL	THS_T	FR241	8887	12250	11746	11852	11180	10408	13294	12406
TOTAL	THS_T	FR242	14639	14399	18748	20670	19617	18520	17263	20113
TOTAL	THS_T	FR243	8981	8579	8175	8749	10145	9464	12015	11684
TOTAL	THS_T	FR244	12776	17757	20729	19839	20673	20129	20573	17891
TOTAL	THS_T	FR245	9222	9067	9676	7954	10187	13677	10887	9725
TOTAL	THS_T	FR246	20976	23392	29924	27973	29164	31820	29613	29462
TOTAL	THS_T	FR251	18314	24703	23616	25352	24382	25657	26997	28867
TOTAL	THS_T	FR252	15053	20245	19565	18494	17269	15663	16406	18679
TOTAL	THS_T	FR253	11052	11211	14439	12582	12449	13683	12583	13154
TOTAL	THS_T	FR261	16596	20599	24872	23011	22359	21031	24536	25340
TOTAL	THS_T	FR262	7467	6716	7617	8562	9949	8224	8596	14012
TOTAL	THS_T	FR263	13947	17372	20881	18825	21274	20025	17999	22404
TOTAL	THS_T	FR264	14858	14051	13251	12996	13775	12647	12573	13395
TOTAL	THS_T	FR301	62890	64746	69395	67992	66305	76842	68111	83851
TOTAL	THS_T	FR302	45407	44572	46188	54895	55468	52187	45938	55572
TOTAL	THS_T	FR411	17963	25541	23598	19838	22607	24057	21622	27386
TOTAL	THS_T	FR412	7973	8115	8255	8095	10155	9399	9231	8767
TOTAL	THS_T	FR413	20215	24310	25880	31121	31072	30402	25654	31550
TOTAL	THS_T	FR414	9639	13969	13137	18366	18886	15006	15358	18036
TOTAL	THS_T	FR421	33723	33324	35707	34772	40246	40863	35859	42764
TOTAL	THS_T	FR422	20340	22134	25813	24424	27811	26198	27131	27794
TOTAL	THS_T	FR431	18616	18538	22926	20742	22648	21600	25784	27235
TOTAL	THS_T	FR432	10421	12292	11611	9376	11784	11475	11273	10859
TOTAL	THS_T	FR433	5611	6789	8461	7313	10361	9944	12330	13968
TOTAL	THS_T	FR434	2571	2135	3492	2249	5085	4212	5623	4820
TOTAL	THS_T	FR511	51903	52677	53682	47614	57581	54661	42799	56006
TOTAL	THS_T	FR512	25766	33651	32016	33478	39471	31655	29186	33635
TOTAL	THS_T	FR513	20291	20425	24790	21041	19251	18861	16873	19082
TOTAL	THS_T	FR514	18386	19997	21824	24103	26409	19111	17803	21069
TOTAL	THS_T	FR515	30706	31078	31802	32981	32575	28063	28953	32368
TOTAL	THS_T	FR521	26114	25056	31059	28550	25881	24449	25956	30630
TOTAL	THS_T	FR522	30106	30009	27656	32703	33238	26562	25441	37949
TOTAL	THS_T	FR523	57706	56297	49481	45650	50984	42125	43051	54529
TOTAL	THS_T	FR524	24515	21340	23641	24804	28626	28321	24205	29110
TOTAL	THS_T	FR531	13850	21102	22111	21487	29575	21870	18281	18832
TOTAL	THS_T	FR532	24615	22205	26160	25575	21002	20600	19180	18968
TOTAL	THS_T	FR533	22407	28228	22096	20695	19743	22569	17150	22850
TOTAL	THS_T	FR534	12680	15800	16543	15615	13421	14099	14741	17261
TOTAL	THS_T	FR611	14694	16595	16898	17090	15640	14118	12144	16836
TOTAL	THS_T	FR612	37731	45420	43258	51444	49854	46508	40472	45009
TOTAL	THS_T	FR613	19803	23535	19596	22717	19716	22617	18275	23582
TOTAL	THS_T	FR614	19259	18317	13988	13588	18534	14582	15876	13031
TOTAL	THS_T	FR615	24896	22294	19744	24484	20153	21343	24046	24315
TOTAL	THS_T	FR621	3293	2723	3084	3966	5443	4434	3809	3257
TOTAL	THS_T	FR622	9715	12278	8058	7355	8889	10571	11219	11645
TOTAL	THS_T	FR623	32963	39170	39140	34081	34442	36606	36591	45922
TOTAL	THS_T	FR624	5359	6997	6695	6012	4914	6045	7806	7820
TOTAL	THS_T	FR625	5035	4354	7043	6668	5189	5048	7593	3885
TOTAL	THS_T	FR626	4489	4973	6463	6409	8623	5368	4377	4951
TOTAL	THS_T	FR627	7935	10086	12450	10844	9019	11406	9544	10330
TOTAL	THS_T	FR628	7262	9230	8913	7529	7192	10166	8709	9739
TOTAL	THS_T	FR631	7916	9065	8206	8527	7147	6866	6869	16049
TOTAL	THS_T	FR632	3344	4181	4390	3463	4507	5222	5373	3703
TOTAL	THS_T	FR633	9813	7340	8971	8446	10947	9319	12014	10640
TOTAL	THS_T	FR711	23232	24392	25273	20677	22638	20811	24515	30346
TOTAL	THS_T	FR712	6323	7015	6443	7134	5633	6145	6628	8425
TOTAL	THS_T	FR713	14164	21428	17121	18162	19332	17962	19814	24652
TOTAL	THS_T	FR714	32057	39409	36754	43120	36449	34341	29505	42491
TOTAL	THS_T	FR715	14679	17647	20810	24020	22657	18790	17241	23735
TOTAL	THS_T	FR716	41226	44793	53478	54509	61064	52603	47407	69691
TOTAL	THS_T	FR717	10796	11428	12537	13821	14129	13264	13645	15508
TOTAL	THS_T	FR718	23654	27262	23551	25031	19742	19717	18658	24624
TOTAL	THS_T	FR721	10858	10410	10433	12835	14170	11895	10275	11442
TOTAL	THS_T	FR722	3620	5191	4648	4213	4893	5847	5188	3739
TOTAL	THS_T	FR723	9573	7348	9154	6114	8310	7183	5409	4934
TOTAL	THS_T	FR724	19147	22253	22481	21996	24412	21931	18568	19082
TOTAL	THS_T	FR811	9814	13228	12131	14202	15101	11354	10892	10333
TOTAL	THS_T	FR812	15905	18073	19931	22527	19604	15680	15592	19139
TOTAL	THS_T	FR813	26148	22835	23322	30443	34685	32537	31033	27983
TOTAL	THS_T	FR814	2454	2886	4915	3912	2934	2227	3087	2414
TOTAL	THS_T	FR815	6824	9608	8875	11145	14281	10927	13558	15080
TOTAL	THS_T	FR821	3659	5872	3155	4949	5428	4044	4423	4256
TOTAL	THS_T	FR822	2895	3723	3350	7570	8292	5522	4451	5789
TOTAL	THS_T	FR823	14977	14954	15393	20739	18356	16569	16632	17166
TOTAL	THS_T	FR824	58096	50491	53770	63967	61341	62704	69499	66010
TOTAL	THS_T	FR825	24016	17443	20219	32075	29809	29624	22342	21192
TOTAL	THS_T	FR826	20966	16124	18153	20915	26294	23851	23626	25854
TOTAL	THS_T	FR831	1682	2435	3116	4383	4493	7958	5545	3064
TOTAL	THS_T	FR832	2713	4916	3117	6143	4665	4405	5660	4252
TOTAL	THS_T	HR011	:	:	:	:	9114	10669	11509	15523
TOTAL	THS_T	HR012	:	:	:	:	5495	5493	7895	9353
TOTAL	THS_T	HR013	:	:	:	:	2362	2893	4832	4258
TOTAL	THS_T	HR014	:	:	:	:	3786	4002	6167	6689
TOTAL	THS_T	HR015	:	:	:	:	1954	1853	2575	3790
TOTAL	THS_T	HR016	:	:	:	:	1864	1642	1889	1903
TOTAL	THS_T	HR021	:	:	:	:	2665	2240	2660	3537
TOTAL	THS_T	HR022	:	:	:	:	1520	1025	1692	1464
TOTAL	THS_T	HR023	:	:	:	:	1367	1096	1484	2325
TOTAL	THS_T	HR024	:	:	:	:	1523	1481	2236	3063
TOTAL	THS_T	HR025	:	:	:	:	5394	6089	7816	9325
TOTAL	THS_T	HR026	:	:	:	:	2291	1999	2596	2302
TOTAL	THS_T	HR027	:	:	:	:	2851	2169	2466	4575
TOTAL	THS_T	HR028	:	:	:	:	2401	2462	2794	3702
TOTAL	THS_T	HR031	5529	4473	6894	5781	6591	6459	8173	9291
TOTAL	THS_T	HR032	1059	1200	939	788	975	1004	659	1965
TOTAL	THS_T	HR033	1682	1378	1583	1629	1713	2832	3102	3044
TOTAL	THS_T	HR034	809	1177	1139	718	751	1440	1306	1496
TOTAL	THS_T	HR035	3773	3883	4008	5073	6559	5799	7136	7751
TOTAL	THS_T	HR036	3356	5001	4847	3433	4914	4318	5852	6399
TOTAL	THS_T	HR037	889	955	1127	952	1363	1227	1428	1941
TOTAL	THS_T	HR041	6795	8154	7356	8599	:	:	:	:
TOTAL	THS_T	HR042	5109	5913	5504	5857	:	:	:	:
TOTAL	THS_T	HR043	2135	2089	2120	1994	:	:	:	:
TOTAL	THS_T	HR044	3313	3285	3823	3908	:	:	:	:
TOTAL	THS_T	HR045	2396	1448	2178	2689	:	:	:	:
TOTAL	THS_T	HR046	1851	1406	1531	1472	:	:	:	:
TOTAL	THS_T	HR047	2360	1913	1948	1805	:	:	:	:
TOTAL	THS_T	HR048	1039	993	1376	1283	:	:	:	:
TOTAL	THS_T	HR049	1227	1396	1283	1047	:	:	:	:
TOTAL	THS_T	HR04A	1121	1140	1518	1205	:	:	:	:
TOTAL	THS_T	HR04B	4973	5644	4918	4840	:	:	:	:
TOTAL	THS_T	HR04C	2011	1811	1651	2066	:	:	:	:
TOTAL	THS_T	HR04D	2188	2227	2297	1894	:	:	:	:
TOTAL	THS_T	HR04E	2288	2120	2337	2048	:	:	:	:
TOTAL	THS_T	HU101	15006	14055	12405	11187	12890	15302	17022	24861
TOTAL	THS_T	HU102	25809	24738	23111	22516	26703	31211	36783	41772
TOTAL	THS_T	HU211	11825	11447	9771	8459	9976	11428	13153	13721
TOTAL	THS_T	HU212	8537	6238	7627	7683	6345	8118	9923	11721
TOTAL	THS_T	HU213	7888	7882	6034	6443	8779	10927	8425	11234
TOTAL	THS_T	HU221	11931	12081	8600	7947	10172	9235	9470	11926
TOTAL	THS_T	HU222	4926	4697	4100	4165	4603	4763	8555	7490
TOTAL	THS_T	HU223	4075	3757	3311	4224	5886	5693	6472	9320
TOTAL	THS_T	HU231	5591	6589	6169	4777	6223	7689	13008	16890
TOTAL	THS_T	HU232	3690	3960	4052	3769	5597	6141	5908	6447
TOTAL	THS_T	HU233	3625	3259	3091	3707	3733	4530	11374	13223
TOTAL	THS_T	HU311	11743	11677	9036	9328	12055	12031	14833	18137
TOTAL	THS_T	HU312	5539	4923	4169	5430	3737	5740	5428	5575
TOTAL	THS_T	HU313	1623	1616	1439	1048	1371	1652	2020	1707
TOTAL	THS_T	HU321	6140	5844	5156	5452	5662	8151	8146	9225
TOTAL	THS_T	HU322	6251	8167	4670	6166	6844	7393	6919	8689
TOTAL	THS_T	HU323	6326	5331	5367	5960	5239	6665	5805	6852
TOTAL	THS_T	HU331	10379	9945	8174	7250	8695	9628	9316	8597
TOTAL	THS_T	HU332	5855	6715	4341	5328	5028	5640	5708	6340
TOTAL	THS_T	HU333	7318	6787	6005	3644	5616	7566	11871	7370
TOTAL	THS_T	IE011	10352	10401	9820	10383	10177	10930	12492	22156
TOTAL	THS_T	IE012	6457	6409	5980	5371	5890	7144	11062	25208
TOTAL	THS_T	IE013	8465	7504	7946	7618	7202	8975	13456	22947
TOTAL	THS_T	IE021	29227	28193	25164	24102	24769	24967	26699	46728
TOTAL	THS_T	IE022	12463	12582	10692	10646	10854	14925	20169	33961
